qseqid	sseqid	pident	length	qcovs	evalue	bitscore	confidence	kingdom	phylum	class	order	family	genus	species
ASV0509	AY279593.1.<1.>933###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Labriformes_1489928;Labridae_8247;Cymolutes_241283;Cymolutes_praetextatus_241284	98.985	197	100	2.24e-96	351	species	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Cymolutes	Cymolutes praetextatus
ASV0510	MH248213.1.<1.>651###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Spariformes_1489931;Lethrinidae_30848;Lethrinus_119720;Lethrinus_nebulosus_182658	99.49	196	100	4.79e-98	357	species	Eukaryota	Chordata	Actinopteri	Spariformes	Lethrinidae	Lethrinus	Lethrinus nebulosus
ASV0511	LC858680.1.<1.951###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Gobiiformes_1489878;Gobiidae_8220;Vanderhorstia_579952;Vanderhorstia_phaeosticta_2768284	99.485	194	100	6.12e-97	353	species	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	Vanderhorstia	Vanderhorstia phaeosticta
ASV0512	OR575623.1.69.1025###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Myctophiformes_68514;Myctophidae_68515;Diaphus_88678;Diaphus_fulgens_1519963	95.96	198	100	1.77e-87	322	genus	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Diaphus	Diaphus sp.
ASV0513	AB974508.2.<1.888###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Holocentriformes_1490028;Holocentridae_47697;Myripristis_47699;Myripristis_greenfieldi_1522387	99.495	198	100	3.75e-99	361	species	Eukaryota	Chordata	Actinopteri	Holocentriformes	Holocentridae	Myripristis	Myripristis greenfieldi
ASV0514	AP009183.1.69.1017###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Tetraodontiformes_31022;Monacanthidae_143346;Aluterus_303709;Aluterus_scriptus_303710	100	197	100	2.88e-100	364	species	Eukaryota	Chordata	Actinopteri	Tetraodontiformes	Monacanthidae	Aluterus	Aluterus scriptus
ASV0515	AP019337.1.69.1017###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Gobiiformes_1489878;Gobiidae_8220;Eviota_166746;Eviota_prasina_595619	92.347	196	100	3.81e-74	278	family	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	NA	NA
ASV0516	PV590092.1.69.1030###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;order_Polynemidae_30917;Polynemidae_30917;Polydactylus_320381;Polydactylus_sexfilis_621112	100	197	100	2.88e-100	364	species	Eukaryota	Chordata	Actinopteri	Polynemidae	Polynemidae	Polydactylus	Polydactylus sexfilis
ASV0517	KY815349.1.<1.>879###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Labriformes_1489928;Labridae_8247;Thalassoma_76337;Thalassoma_lutescens_239049	99.485	194	100	6.12e-97	353	species	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Thalassoma	Thalassoma lutescens
ASV0518	OQ656152.1.70.1016###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Anguilliformes_7933;Muraenidae_46660;Gymnothorax_121281;Gymnothorax_buroensis_876628	99.487	195	100	1.71e-97	355	species	Eukaryota	Chordata	Actinopteri	Anguilliformes	Muraenidae	Gymnothorax	Gymnothorax buroensis
ASV0519	LC649141.1.<1.888###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Acanthuriformes_1489937;Acanthuridae_29146;Naso_75027;Naso_unicornis_175444	99.492	197	100	1.34e-98	359	species	Eukaryota	Chordata	Actinopteri	Acanthuriformes	Acanthuridae	Naso	Naso unicornis
ASV0520	OP035214.1.69.1021###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Kurtiformes_1489876;Apogonidae_83881;Zapogon_638294;Zapogon_evermanni_638296	93.367	196	100	1.77e-77	289	family	Eukaryota	Chordata	Actinopteri	Kurtiformes	Apogonidae	NA	NA
ASV0521	MH248213.1.<1.>651###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Spariformes_1489931;Lethrinidae_30848;Lethrinus_119720;Lethrinus_nebulosus_182658	97.449	196	100	2.24e-91	335	genus	Eukaryota	Chordata	Actinopteri	Spariformes	Lethrinidae	Lethrinus	Lethrinus sp.
ASV0522	AP005991.1.70.1024###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Perciformes_8111;Serranidae_30871;Epinephelus_94231;Epinephelus_merra_215346	96.429	196	100	4.86e-88	324	genus	Eukaryota	Chordata	Actinopteri	Perciformes	Serranidae	Epinephelus	Epinephelus sp.
ASV0523	DQ645678.1.<1.>949###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Anguilliformes_7933;Muraenidae_46660;Scuticaria_210591;Scuticaria_tigrina_391220	98.485	198	100	8.11e-96	350	species	Eukaryota	Chordata	Actinopteri	Anguilliformes	Muraenidae	Scuticaria	Scuticaria tigrina
ASV0524	OP035184.1.70.1018###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Anguilliformes_7933;Muraenidae_46660;Echidna_189497;Echidna_nebulosa_586818	98.98	196	100	2.23e-96	351	species	Eukaryota	Chordata	Actinopteri	Anguilliformes	Muraenidae	Echidna	Echidna nebulosa
ASV0525	FJ616363.1.<1.>945###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;order_Pomacentridae_30863;Pomacentridae_30863;Plectroglyphidodon_80986;Plectroglyphidodon_leucozona_3359602	99.492	197	100	1.34e-98	359	species	Eukaryota	Chordata	Actinopteri	Pomacentridae	Pomacentridae	Plectroglyphidodon	Plectroglyphidodon leucozona
ASV0526	JQ707028.1.<1.>860###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;order_Pomacentridae_30863;Pomacentridae_30863;Abudefduf_36213;Abudefduf_sparoides_229093	98.98	196	100	2.23e-96	351	species	Eukaryota	Chordata	Actinopteri	Pomacentridae	Pomacentridae	Abudefduf	Abudefduf sparoides
ASV0527	PP140670.1.11089.12034###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;order_Siganidae_75382;Siganidae_75382;Siganus_75041;Siganus_argenteus_225755	98.985	197	100	6.23e-97	353	species	Eukaryota	Chordata	Actinopteri	Siganidae	Siganidae	Siganus	Siganus argenteus
ASV0528	LC812908.1.<1.890###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Myctophiformes_68514;Myctophidae_68515;Ceratoscopelus_123250;Ceratoscopelus_warmingii_123251	98.492	199	100	2.27e-96	351	species	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Ceratoscopelus	Ceratoscopelus warmingii
ASV0529	MW194890.1.71.1026###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Perciformes_8111;Serranidae_30871;Epinephelus_94231;Epinephelus_tauvina_203262	100	196	100	1.03e-99	363	species	Eukaryota	Chordata	Actinopteri	Perciformes	Serranidae	Epinephelus	Epinephelus tauvina
ASV0530	LC888373.1.<1.885###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Blenniiformes_1489921;Blenniidae_56718;Andamia_879700;Andamia_tetradactylus_879702	95.385	195	100	3.76e-84	311	genus	Eukaryota	Chordata	Actinopteri	Blenniiformes	Blenniidae	Andamia	Andamia sp.
ASV0531	OR575608.1.15422.16370###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Chaetodontiformes_1545895;Chaetodontidae_30828;Chaetodon_37948;Chaetodon_trifascialis_109706	99.487	195	100	1.71e-97	355	species	Eukaryota	Chordata	Actinopteri	Chaetodontiformes	Chaetodontidae	Chaetodon	Chaetodon trifascialis
ASV0532	PV053460.1.<1.>168###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Blenniiformes_1489921;Blenniidae_56718;Blenniella_879711;Blenniella_chrysospilos_879712	94.643	168	86	3.84e-69	261	family	Eukaryota	Chordata	Actinopteri	Blenniiformes	Blenniidae	NA	NA
ASV0533	LC858680.1.<1.951###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Gobiiformes_1489878;Gobiidae_8220;Vanderhorstia_579952;Vanderhorstia_phaeosticta_2768284	98.969	194	100	2.85e-95	348	species	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	Vanderhorstia	Vanderhorstia phaeosticta
ASV0534	LC649116.1.<1.889###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Blenniiformes_1489921;Gobiesocidae_63826;Pherallodichthys_2740790;Pherallodichthys_meshimaensis_2873921	93.264	193	100	2.25e-76	285	family	Eukaryota	Chordata	Actinopteri	Blenniiformes	Gobiesocidae	NA	NA
ASV0535	OP035059.1.69.1032###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Scombriformes_1489894;Scombrolabracidae_30885;Scombrolabrax_372793;Scombrolabrax_heterolepis_372794	99.495	198	100	3.75e-99	361	species	Eukaryota	Chordata	Actinopteri	Scombriformes	Scombrolabracidae	Scombrolabrax	Scombrolabrax heterolepis
ASV0536	MW133237.1.70.1019###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Anguilliformes_7933;Muraenidae_46660;Gymnothorax_121281;Gymnothorax_rueppelliae_3040411	98.98	196	100	2.23e-96	351	species	Eukaryota	Chordata	Actinopteri	Anguilliformes	Muraenidae	Gymnothorax	Gymnothorax rueppelliae
ASV0537	LC848706.1.<1.895###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Pleuronectiformes_8252;Bothidae_8253;Bothus_94920;Bothus_pantherinus_366905	99.495	198	100	3.75e-99	361	species	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Bothidae	Bothus	Bothus pantherinus
ASV0538	JX242913.1.<1.>630###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Anguilliformes_7933;Moringuidae_118143;Moringua_118144;Moringua_javanica_391223	100	195	100	3.68e-99	361	species	Eukaryota	Chordata	Actinopteri	Anguilliformes	Moringuidae	Moringua	Moringua javanica
ASV0539	OP035185.1.69.1023###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Kurtiformes_1489876;Apogonidae_83881;Pristiapogon_638292;Pristiapogon_kallopterus_316349	99.49	196	100	4.79e-98	357	species	Eukaryota	Chordata	Actinopteri	Kurtiformes	Apogonidae	Pristiapogon	Pristiapogon kallopterus
ASV0540	OR582716.1.69.1018###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Labriformes_1489928;Labridae_8247;Cymolutes_241283;Cymolutes_torquatus_241285	100	196	100	1.03e-99	363	species	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Cymolutes	Cymolutes torquatus
ASV0541	OP718224.1.70.1024###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Syngnathiformes_129912;Mullidae_30854;Parupeneus_334899;Parupeneus_barberinus_475168	98.99	198	100	1.74e-97	355	species	Eukaryota	Chordata	Actinopteri	Syngnathiformes	Mullidae	Parupeneus	Parupeneus barberinus
ASV0542	KT600965.1.<1.>764###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Tetraodontiformes_31022;Balistidae_31024;Pseudobalistes_303694;Pseudobalistes_fuscus_303695	100	198	100	8.05e-101	366	species	Eukaryota	Chordata	Actinopteri	Tetraodontiformes	Balistidae	Pseudobalistes	Pseudobalistes fuscus
ASV0543	LC092055.2.<1.894###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Gobiiformes_1489878;Gobiidae_8220;Bathygobius_163631;Bathygobius_cocosensis_166735	98.477	197	100	2.90e-95	348	species	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	Bathygobius	Bathygobius cocosensis
ASV0544	AP005991.1.70.1024###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Perciformes_8111;Serranidae_30871;Epinephelus_94231;Epinephelus_merra_215346	97.959	196	100	4.82e-93	340	genus	Eukaryota	Chordata	Actinopteri	Perciformes	Serranidae	Epinephelus	Epinephelus sp.
ASV0545	LC780147.1.<1.895###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Gobiiformes_1489878;Gobiidae_8220;Gnatholepis_151727;Gnatholepis_anjerensis_194857	98.969	194	100	2.85e-95	348	species	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	Gnatholepis	Gnatholepis anjerensis
ASV0546	MZ329992.1.70.1019###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Anguilliformes_7933;Muraenidae_46660;Gymnothorax_121281;Gymnothorax_undulatus_473461	99.49	196	100	4.79e-98	357	species	Eukaryota	Chordata	Actinopteri	Anguilliformes	Muraenidae	Gymnothorax	Gymnothorax undulatus
ASV0547	OP035265.1.71.1022###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Holocentriformes_1490028;Holocentridae_47697;Sargocentron_47707;Sargocentron_tiere_47713	100	199	100	2.25e-101	368	species	Eukaryota	Chordata	Actinopteri	Holocentriformes	Holocentridae	Sargocentron	Sargocentron tiere
ASV0548	LC499207.2.<1.>803###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Perciformes_8111;Anthiadidae_3363800;Pseudanthias_270577;Pseudanthias_hypselosoma_1293902	93.814	194	100	4.84e-78	291	family	Eukaryota	Chordata	Actinopteri	Perciformes	Anthiadidae	NA	NA
ASV0549	KP893074.1.70.1018###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Anguilliformes_7933;Muraenidae_46660;Enchelynassa_876646;Enchelynassa_canina_876647	99.49	196	100	4.79e-98	357	species	Eukaryota	Chordata	Actinopteri	Anguilliformes	Muraenidae	Enchelynassa	Enchelynassa canina
ASV0550	OP035203.1.70.1019###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Acanthuriformes_1489937;Acanthuridae_29146;Acanthurus_12912;Acanthurus_xanthopterus_75014	100	197	100	2.88e-100	364	species	Eukaryota	Chordata	Actinopteri	Acanthuriformes	Acanthuridae	Acanthurus	Acanthurus xanthopterus
ASV0551	LC579310.2.<1.888###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Gobiiformes_1489878;Gobiidae_8220;Valenciennea_150331;Valenciennea_randalli_2768283	97.423	194	100	2.87e-90	331	genus	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	Valenciennea	Valenciennea sp.
ASV0552	LC340097.1.<1.>168###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Perciformes_8111;Scorpaenidae_8108;Scorpaenodes_274701;Scorpaenodes_kelloggi_1146986	100	168	86	3.76e-84	311	species	Eukaryota	Chordata	Actinopteri	Perciformes	Scorpaenidae	Scorpaenodes	Scorpaenodes kelloggi
ASV0553	MZ597986.1.<1.>169###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Kurtiformes_1489876;Apogonidae_83881;Apogon_83882;Apogon_doryssa_1156427	99.408	169	86	4.89e-83	307	species	Eukaryota	Chordata	Actinopteri	Kurtiformes	Apogonidae	Apogon	Apogon doryssa
ASV0554	OP035282.1.69.1017###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Acanthuriformes_1489937;Acanthuridae_29146;Acanthurus_12912;Acanthurus_nigrofuscus_12913	98.98	196	100	2.23e-96	351	species	Eukaryota	Chordata	Actinopteri	Acanthuriformes	Acanthuridae	Acanthurus	Acanthurus nigrofuscus
ASV0555	AP005991.1.70.1024###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Perciformes_8111;Serranidae_30871;Epinephelus_94231;Epinephelus_merra_215346	97.959	196	100	4.82e-93	340	genus	Eukaryota	Chordata	Actinopteri	Perciformes	Serranidae	Epinephelus	Epinephelus sp.
ASV0556	MH248213.1.<1.>651###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Spariformes_1489931;Lethrinidae_30848;Lethrinus_119720;Lethrinus_nebulosus_182658	97.449	196	100	2.24e-91	335	genus	Eukaryota	Chordata	Actinopteri	Spariformes	Lethrinidae	Lethrinus	Lethrinus sp.
ASV0557	MW560469.1.70.1023###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Perciformes_8111;Serranidae_30871;Epinephelus_94231;Epinephelus_hexagonatus_163121	98.98	196	100	2.23e-96	351	species	Eukaryota	Chordata	Actinopteri	Perciformes	Serranidae	Epinephelus	Epinephelus hexagonatus
ASV0558	KT600971.1.<1.>764###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Tetraodontiformes_31022;Balistidae_31024;Rhinecanthus_245704;Rhinecanthus_rectangulus_480297	98.99	198	100	1.74e-97	355	species	Eukaryota	Chordata	Actinopteri	Tetraodontiformes	Balistidae	Rhinecanthus	Rhinecanthus rectangulus
ASV0559	AY279626.1.<1.>932###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Labriformes_1489928;Labridae_8247;Novaculoides_315408;Novaculoides_macrolepidotus_241323	95.455	198	100	2.96e-85	315	genus	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Novaculoides	Novaculoides sp.
ASV0560	LC681773.1.<1.896###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Myctophiformes_68514;Myctophidae_68515;Diaphus_88678;Diaphus_watasei_88679	96.552	203	100	8.40e-91	333	genus	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Diaphus	Diaphus sp.
ASV0561	OP035265.1.71.1022###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Holocentriformes_1490028;Holocentridae_47697;Sargocentron_47707;Sargocentron_tiere_47713	98.995	199	100	4.87e-98	357	species	Eukaryota	Chordata	Actinopteri	Holocentriformes	Holocentridae	Sargocentron	Sargocentron tiere
ASV0562	AY279593.1.<1.>933###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Labriformes_1489928;Labridae_8247;Cymolutes_241283;Cymolutes_praetextatus_241284	97.475	198	100	2.26e-91	335	genus	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Cymolutes	Cymolutes sp.
ASV0563	OR482446.1.70.1012###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Beloniformes_76071;Exocoetidae_76072;Parexocoetus_129056;Parexocoetus_brachypterus_129057	100	196	100	1.03e-99	363	species	Eukaryota	Chordata	Actinopteri	Beloniformes	Exocoetidae	Parexocoetus	Parexocoetus brachypterus
ASV0564	OP035151.1.70.1017###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Blenniiformes_1489921;Blenniidae_56718;Cirripectes_703910;Cirripectes_quagga_879476	98.462	195	100	3.71e-94	344	species	Eukaryota	Chordata	Actinopteri	Blenniiformes	Blenniidae	Cirripectes	Cirripectes quagga
ASV0565	OP035187.2.69.1025###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Anguilliformes_7933;Ophichthidae_54912;Callechelys_1156453;Callechelys_marmorata_1156455	99.5	200	100	2.93e-100	364	species	Eukaryota	Chordata	Actinopteri	Anguilliformes	Ophichthidae	Callechelys	Callechelys marmorata
ASV0566	FJ595020.1.69.1020###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Labriformes_1489928;Labridae_8247;Scarus_59660;Scarus_schlegeli_247629	97.99	199	100	3.77e-94	344	genus	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Scarus	Scarus sp.
ASV0567	AF417312.1.1.948###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Anguilliformes_7933;Muraenidae_46660;Uropterygius_189495;Uropterygius_micropterus_189496	89.95	199	100	6.50e-67	254	order	Eukaryota	Chordata	Actinopteri	Anguilliformes	NA	NA	NA
ASV0568	LC458136.2.<1.890###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Gerreiformes_2024538;Gerreidae_274463;Gerres_274464;Gerres_erythrourus_332416	94.388	196	100	8.09e-81	300	family	Eukaryota	Chordata	Actinopteri	Gerreiformes	Gerreidae	NA	NA
ASV0569	OP035101.1.70.1021###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Anguilliformes_7933;Muraenidae_46660;Gymnothorax_121281;Gymnothorax_chilospilus_473452	99	200	100	1.36e-98	359	species	Eukaryota	Chordata	Actinopteri	Anguilliformes	Muraenidae	Gymnothorax	Gymnothorax chilospilus
ASV0570	OP035253.1.69.1017###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Acanthuriformes_1489937;Acanthuridae_29146;Naso_75027;Naso_lituratus_75028	99.492	197	100	1.34e-98	359	species	Eukaryota	Chordata	Actinopteri	Acanthuriformes	Acanthuridae	Naso	Naso lituratus
ASV0571	OP749983.1.70.1017###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Blenniiformes_1489921;Blenniidae_56718;Cirripectes_703910;Cirripectes_randalli_2999979	99.487	195	100	1.71e-97	355	species	Eukaryota	Chordata	Actinopteri	Blenniiformes	Blenniidae	Cirripectes	Cirripectes randalli
ASV0572	OP035218.2.69.1017###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Acanthuriformes_1489937;Acanthuridae_29146;Zebrasoma_75045;Zebrasoma_velifer_1311505	99.49	196	100	4.79e-98	357	species	Eukaryota	Chordata	Actinopteri	Acanthuriformes	Acanthuridae	Zebrasoma	Zebrasoma velifer
ASV0573	EU601186.1.22.>926###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Labriformes_1489928;Labridae_8247;Chlorurus_126670;Chlorurus_oedema_188108	98.995	199	100	4.87e-98	357	species	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Chlorurus	Chlorurus oedema
ASV0574	AP019601.1.69.1016###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Tetraodontiformes_31022;Tetraodontidae_31031;Arothron_50368;Arothron_manilensis_300222	99.495	198	100	3.75e-99	361	species	Eukaryota	Chordata	Actinopteri	Tetraodontiformes	Tetraodontidae	Arothron	Arothron manilensis
ASV0575	PV053446.1.<1.>167###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Blenniiformes_1489921;Blenniidae_56718;Petroscirtes_57846;Petroscirtes_xestus_1156125	97.605	167	86	6.30e-77	287	genus	Eukaryota	Chordata	Actinopteri	Blenniiformes	Blenniidae	Petroscirtes	Petroscirtes sp.
ASV0576	LC858680.1.<1.951###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Gobiiformes_1489878;Gobiidae_8220;Vanderhorstia_579952;Vanderhorstia_phaeosticta_2768284	99.485	194	100	6.12e-97	353	species	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	Vanderhorstia	Vanderhorstia phaeosticta
ASV0577	OQ342818.1.<1.>219###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Centrarchiformes_1489940;Kyphosidae_30843;Kyphosus_163142;Kyphosus_sectatrix_1099869	99.495	198	100	3.75e-99	361	species	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Kyphosidae	Kyphosus	Kyphosus sectatrix
ASV0578	JX242930.1.<1.>814###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Anguilliformes_7933;Muraenidae_46660;Gymnothorax_121281;Gymnothorax_richardsonii_876637	99.487	195	100	1.71e-97	355	species	Eukaryota	Chordata	Actinopteri	Anguilliformes	Muraenidae	Gymnothorax	Gymnothorax richardsonii
ASV0579	AP012253.1.333.1281###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Myctophiformes_68514;Myctophidae_68515;Benthosema_123334;Benthosema_fibulatum_363172	95.522	201	100	6.47e-87	320	genus	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Benthosema	Benthosema sp.
ASV0580	LC026706.1.<1.>168###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Perciformes_8111;Scorpaenidae_8108;Parascorpaena_626228;Parascorpaena_mossambica_1003773	92.262	168	86	1.80e-62	239	family	Eukaryota	Chordata	Actinopteri	Perciformes	Scorpaenidae	NA	NA
ASV0581	LC739786.1.<1.888###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Blenniiformes_1489921;Blenniidae_56718;Petroscirtes_57846;Petroscirtes_mitratus_879517	95.918	196	100	8.08e-86	316	genus	Eukaryota	Chordata	Actinopteri	Blenniiformes	Blenniidae	Petroscirtes	Petroscirtes sp.
ASV0582	OP035107.2.70.1024###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Syngnathiformes_129912;Mullidae_30854;Mulloidichthys_342442;Mulloidichthys_flavolineatus_652446	99.492	197	100	1.34e-98	359	species	Eukaryota	Chordata	Actinopteri	Syngnathiformes	Mullidae	Mulloidichthys	Mulloidichthys flavolineatus
ASV0583	LC579312.2.<1.792###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Gobiiformes_1489878;Gobiidae_8220;Gobiodon_150299;Gobiodon_unicolor_459510	86.935	199	100	6.59e-57	220	order	Eukaryota	Chordata	Actinopteri	Gobiiformes	NA	NA	NA
ASV0584	LC649116.1.<1.889###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Blenniiformes_1489921;Gobiesocidae_63826;Pherallodichthys_2740790;Pherallodichthys_meshimaensis_2873921	89.744	195	100	1.07e-64	246	order	Eukaryota	Chordata	Actinopteri	Blenniiformes	NA	NA	NA
ASV0585	MK253669.1.69.1013###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Gobiiformes_1489878;Gobiidae_8220;Acanthogobius_86196;Acanthogobius_hasta_267130	86.364	198	100	3.97e-54	211	order	Eukaryota	Chordata	Actinopteri	Gobiiformes	NA	NA	NA
ASV0586	KY815355.1.<1.>879###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Labriformes_1489928;Labridae_8247;Xenojulis_1984850;Xenojulis_margaritaceus_1984852	95.408	196	100	3.78e-84	311	genus	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Xenojulis	Xenojulis sp.
ASV0587	MH248213.1.<1.>651###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Spariformes_1489931;Lethrinidae_30848;Lethrinus_119720;Lethrinus_nebulosus_182658	97.959	196	100	4.82e-93	340	genus	Eukaryota	Chordata	Actinopteri	Spariformes	Lethrinidae	Lethrinus	Lethrinus sp.
ASV0588	EU921686.1.<1.>731###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Anguilliformes_7933;Muraenidae_46660;Gymnothorax_121281;Gymnothorax_miliaris_584627	100	196	100	1.03e-99	363	species	Eukaryota	Chordata	Actinopteri	Anguilliformes	Muraenidae	Gymnothorax	Gymnothorax miliaris
ASV0589	KU360727.1.70.1012###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Beloniformes_76071;Exocoetidae_76072;Cheilopogon_293908;Cheilopogon_unicolor_933979	99.49	196	100	4.79e-98	357	species	Eukaryota	Chordata	Actinopteri	Beloniformes	Exocoetidae	Cheilopogon	Cheilopogon unicolor
ASV0590	AP009144.1.70.1023###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Clupeiformes_32446;Clupeidae_55118;Spratelloides_365051;Spratelloides_delicatulus_373251	87.805	205	100	2.40e-61	235	order	Eukaryota	Chordata	Actinopteri	Clupeiformes	NA	NA	NA
ASV0591	MW160687.1.70.1020###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Anguilliformes_7933;Muraenidae_46660;Gymnothorax_121281;Gymnothorax_flavimarginatus_217850	100	194	99	1.33e-98	359	species	Eukaryota	Chordata	Actinopteri	Anguilliformes	Muraenidae	Gymnothorax	Gymnothorax flavimarginatus
